Date,Temp
2023/10/20,20
2023/10/21,20
2023/10/22,20
2023/10/23,20
2023/10/24,20
2023/10/25,20
2023/10/26,20
2023/10/27,20
2023/10/28,20
2023/10/29,20
2023/10/30,20
2023/10/31,20
2023/11/01,20
2023/11/02,20
2023/11/03,20
2023/11/04,20
2023/11/05,20
2023/11/06,20
2023/11/07,20
2023/11/08,20
2023/11/09,20
2023/11/10,20
2023/11/11,20
2023/11/12,20
2023/11/13,20
2023/11/14,20
2023/11/15,20
2023/11/16,20
2023/11/17,20
2023/11/18,20
2023/11/19,20
2023/11/20,20
2023/11/21,20
2023/11/22,20
2023/11/23,20
2023/11/24,20
2023/11/25,20
2023/11/26,20
2023/11/27,20
2023/11/28,20
2023/11/29,20
2023/11/30,20
2023/12/01,20
2023/12/02,20
2023/12/03,20
2023/12/04,20
2023/12/05,20
2023/12/06,20
2023/12/07,20
2023/12/08,20
2023/12/09,20
2023/12/10,20
2023/12/11,20
2023/12/12,20
2023/12/13,20
2023/12/14,20
2023/12/15,20
2023/12/16,20
2023/12/17,20
2023/12/18,20
2023/12/19,20
2023/12/20,20
2023/12/21,20
2023/12/22,20
2023/12/23,20
2023/12/24,20
2023/12/25,20
2023/12/26,20
2023/12/27,20
2023/12/28,20
2023/12/29,20
2023/12/30,20
2023/12/31,20
2024/01/01,20
